target_id,timestamp,field,source_value,decoded_value,protocol_code,flag_bit,absolute_error,tolerance,passed
a48850,1786673155,lat,48.3902,48.390216443590276,3224725,0,1.6443590276082887e-05,4.2915354470099084e-05,True
a48850,1786673155,lon,9.4747,9.474723213845039,2207540,1,2.3213845038227987e-05,8.583070894019817e-05,True
a48850,1786673155,altitude,11887.2,11887.0,12887,2,0.2000000000007276,1.0,True
a48850,1786673155,speed,241.82,241.8,2418,3,0.01999999999998181,0.1,True
a48850,1786673155,heading,152.78,152.78,15278,4,0.0,0.01,True
a48850,1786673155,vertical_rate,0.0,0.0,32768,5,0.0,0.01,True
896175,1786673154,lat,45.5435,45.543512235525185,3158392,0,1.2235525183257323e-05,4.2915354470099084e-05,True
896175,1786673154,lon,5.0463,5.046287786075538,2155945,1,1.2213924461157433e-05,8.583070894019817e-05,True
896175,1786673154,altitude,10972.8,10973.0,11973,2,0.2000000000007276,1.0,True
896175,1786673154,speed,256.15,256.1,2561,3,0.049999999999954525,0.1,True
896175,1786673154,heading,109.96,109.96000000000001,10996,4,1.4210854715202004e-14,0.01,True
896175,1786673154,vertical_rate,0.0,0.0,32768,5,0.0,0.01,True
3849ff,1786673154,lat,47.5864,47.58641185436531,3205995,0,1.1854365311592119e-05,4.2915354470099084e-05,True
3849ff,1786673154,lon,7.5318,7.531773455565798,2184903,1,2.6544434201802858e-05,8.583070894019817e-05,True
3849ff,1786673154,altitude,,,0,2,,1.0,True
3849ff,1786673154,speed,12.35,12.3,123,3,0.049999999999998934,0.1,True
3849ff,1786673154,heading,300.94,300.94,30094,4,0.0,0.01,True
3849ff,1786673154,vertical_rate,,,0,5,,0.01,True
407fac,1786673154,lat,48.9159,48.91588662049452,3236974,0,1.337950548219169e-05,4.2915354470099084e-05,True
407fac,1786673154,lon,9.0408,9.040763149443421,2202484,1,3.68505565795374e-05,8.583070894019817e-05,True
407fac,1786673154,altitude,11582.4,11582.0,12582,2,0.3999999999996362,1.0,True
407fac,1786673154,speed,228.42,228.4,2284,3,0.01999999999998181,0.1,True
