frame_no,target_id,message_seq,byte_offset,length,message_valid,validation_errors
1,a48850,1,0,41,True,
2,896175,2,41,41,True,
3,3849ff,3,82,41,True,
4,407fac,4,123,41,True,
5,3c815e,5,164,41,True,
6,7c8066,6,205,41,True,
7,45ce47,7,246,41,True,
8,3c5434,8,287,41,True,
9,4b5d62,9,328,41,True,
10,4b5d54,10,369,41,True,
11,4b5d6e,11,410,41,True,
12,4b5c39,12,451,41,True,
13,4b5c1b,13,492,41,True,
14,48ea3a,14,533,41,True,
15,424cbf,15,574,41,True,
16,a61c53,16,615,41,True,
17,8966d5,17,656,41,True,
18,4d253b,18,697,41,True,
19,45b534,19,738,41,True,
20,4d240c,20,779,41,True,
21,ad35c8,21,820,41,True,
22,3889ff,22,861,41,True,
23,4b17fd,23,902,41,True,
24,a48850,24,943,41,True,
25,896175,25,984,41,True,
26,3849ff,26,1025,41,True,
27,407fac,27,1066,41,True,
28,3c815e,28,1107,41,True,
29,7c8066,29,1148,41,True,
30,45ce47,30,1189,41,True,
31,3c5434,31,1230,41,True,
32,4b5d62,32,1271,41,True,
33,4b5d54,33,1312,41,True,
34,4b5d6e,34,1353,41,True,
35,4b5c39,35,1394,41,True,
36,4b5c1b,36,1435,41,True,
37,440b61,37,1476,41,True,
38,48ea3a,38,1517,41,True,
39,424cbf,39,1558,41,True,
40,a61c53,40,1599,41,True,
41,8966d5,41,1640,41,True,
42,4d253b,42,1681,41,True,
43,45b534,43,1722,41,True,
44,4d240c,44,1763,41,True,
45,ad35c8,45,1804,41,True,
46,3889ff,46,1845,41,True,
47,4b17fd,47,1886,41,True,
48,a48850,48,1927,41,True,
49,896175,49,1968,41,True,
50,3849ff,50,2009,41,True,
51,407fac,51,2050,41,True,
52,3c815e,52,2091,41,True,
53,7c8066,53,2132,41,True,
54,45ce47,54,2173,41,True,
55,3c5434,55,2214,41,True,
56,4b5d62,56,2255,41,True,
57,4b5d54,57,2296,41,True,
58,4b5d6e,58,2337,41,True,
59,4b5c39,59,2378,41,True,
60,4b5c1b,60,2419,41,True,
61,440b61,61,2460,41,True,
62,48ea3a,62,2501,41,True,
63,424cbf,63,2542,41,True,
64,a61c53,64,2583,41,True,
65,8966d5,65,2624,41,True,
66,4d253b,66,2665,41,True,
67,45b534,67,2706,41,True,
68,4d240c,68,2747,41,True,
69,ad35c8,69,2788,41,True,
70,3889ff,70,2829,41,True,
71,4b17fd,71,2870,41,True,
